make,model,mileage_mi,manufacture_year,engine_displacement,engine_power,body_type,transmission,door_count,seat_count,fuel_type,priceUSD,country,exterior_color,city
volkswagen,golf,117058.5,1995,1390,44,other,M,5,5,,1398.9672,EU,NA,NA
skoda,octavia,84369.06,2011,1598,77,other,M,5,5,,1398.9672,EU,NA,NA
fiat,panda,13538.421,2015,1242,51,other,M,4,5,,9288,EU,NA,NA
honda,civic,60237,2007,1798,103,other,M,4,5,,7558.92,EU,NA,NA
skoda,octavia,102151.395,2009,1968,125,other,A,,NA,diesel,1398.9672,EU,NA,NA
volkswagen,multivan,39091.95,2011,2000,132,other,A,5,7,,1398.9672,EU,NA,NA
volkswagen,phaeton,21816.351,2014,2967,180,other,A,4,5,,43794.5616,EU,NA,NA
skoda,octavia,121716,2004,1896,74,,M,5,5,diesel,5396.004000000001,EU,NA,NA
skoda,octavia,24219,2015,1968,135,stationwagon,A,5,5,diesel,1398.9672,EU,NA,NA
fiat,idea,124200,2005,1248,51,other,M,5,5,,1944.0000000000002,EU,NA,NA
audi,a4,42538.5,2009,1798,88,,M,4,5,gasoline,12959.8812,EU,NA,NA
smart,fortwo,77004,2000,599,40,other,A,2,2,,2149.2000000000003,EU,NA,NA
ford,focus,88182,2012,1997,103,other,M,5,5,,11826,EU,NA,NA
audi,a6,19561.5,2014,1968,130,other,A,4,5,,35521.200000000004,EU,NA,NA
skoda,octavia,97497,1998,1781,110,,M,4,5,gasoline,1836.5616,EU,NA,NA
skoda,fabia,117339.813,2008,1200,51,other,M,5,4,,5396.004000000001,EU,NA,NA
ford,mondeo,179473.968,2001,1798,93,other,M,5,5,,1614.6000000000001,EU,NA,NA
volkswagen,multivan,121095,2010,1968,132,stationwagon,A,4,7,diesel,1398.9672,EU,NA,NA
volvo,v70,87561,2008,1999,107,other,M,5,5,,11221.2,EU,NA,NA
volkswagen,golf,108675,2008,1968,81,other,M,4,5,,6269.551200000001,EU,NA,NA
skoda,superb,101999.25,2009,3597,191,coupe,A,5,5,gasoline,1398.9672,EU,NA,NA
fiat,punto,90045,2000,1242,59,other,M,3,5,,1080,EU,NA,NA
audi,90,5526.9,2014,1968,130,,A,2,4,diesel,35168.7528,EU,NA,NA
opel,meriva,42134.85,2010,1364,103,other,M,5,NA,,11610,EU,NA,NA
bmw,z4,52785,2005,2171,125,,M,2,2,gasoline,10692.799200000001,EU,NA,NA
opel,mokka,6438.528,2015,1364,103,other,M,4,NA,,18960.318,EU,NA,NA
volkswagen,polo,8954.199,2014,1197,66,other,M,3,NA,,15660.000000000002,EU,NA,NA
opel,adam,3311.172,2015,1398,64,,M,2,4,gasoline,13424.8104,EU,NA,NA
hyundai,ix35,6911.109,2014,1591,99,other,M,5,5,,18889.2,EU,NA,NA
kia,venga,20496.726,2012,1591,92,other,M,5,5,,15433.2,EU,NA,NA
skoda,superb,73899,2010,2000,103,compact,A,None,NA,gasoline,12710.5848,EU,NA,NA
kia,rio,22356,2013,1248,63,other,M,5,5,,12906,EU,NA,NA
mini,cooper,67689,2009,1560,80,other,M,3,4,,8586,EU,NA,NA
subaru,impreza,15525,2013,2457,221,other,M,4,5,,1398.9672,EU,NA,NA
skoda,rapid,31.05,2015,1197,66,,A,4,5,gasoline,18473.1948,EU,NA,NA
bmw,z4,106812,2007,1995,110,other,M,2,2,,12960,EU,NA,NA
honda,cr-v,61929.225,2009,2200,103,,M,5,5,diesel,14549.220000000001,EU,NA,NA
ford,galaxy,67068,2005,1896,96,other,M,5,5,,8532,EU,NA,NA
skoda,fabia,86797.791,2000,1400,44,other,M,5,5,,2398.2264,EU,NA,NA
renault,grand-scenic,47101.608,2012,1461,81,other,A,4,7,,13580.503200000001,EU,NA,NA
volkswagen,up,6295.077,2015,999,44,other,M,2,4,,8563.32,EU,NA,NA
hyundai,ix35,6287.625,2012,1700,85,,M,5,5,diesel,16188.012,EU,NA,NA
peugeot,307,78867,2004,1560,80,other,M,5,5,,3769.2000000000003,EU,NA,NA
audi,a3,8718.219,2015,1968,110,,M,4,5,diesel,21771.1584,EU,NA,NA
opel,astra,97497,1999,1598,74,,M,4,5,gasoline,1188.6804000000002,EU,NA,NA
audi,s3,4909.005,2015,1984,221,,M,4,5,gasoline,35296.214400000004,EU,NA,NA
opel,astra,90045,2007,1364,66,,M,4,5,gasoline,4300.776,EU,NA,NA
ford,mondeo,104949,2002,2495,125,other,M,5,5,,3186,EU,NA,NA
nissan,juke,62.1,2015,1197,85,,M,4,5,gasoline,15310.663200000003,EU,NA,NA
porsche,panamera,2918.7,2014,2967,221,other,A,5,4,,94932,EU,NA,NA
mercedes-benz,vito,47890.278,2014,2143,100,,A,None,NA,diesel,20478.1068,EU,NA,NA
bmw,x6,94392,2009,2993,173,,A,4,4,diesel,22566.1248,EU,NA,NA
porsche,panamera,68634.783,2010,4806,294,,A,4,4,gasoline,46453.748400000004,EU,NA,NA
ford,s-max,135.378,2006,1800,92,other,M,,NA,,1398.9672,EU,NA,NA
volkswagen,touran,117369,2006,1896,77,van,M,5,5,diesel,1398.9672,EU,NA,NA
peugeot,206,180090,1999,1868,51,other,M,,NA,diesel,1398.9672,EU,NA,NA
renault,clio,14810.85,2015,1461,67,other,M,5,5,,14580.000000000002,EU,NA,NA
citroen,xsara-picasso,98118,2003,1997,66,van,M,5,5,diesel,1398.9672,EU,NA,NA
